#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-06-17T14:36:40 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-06-17T14:36:40	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=J/ApJS/161/304/models&-order=I&-out=Cluster&-out=Mod&-out=W0/gamma&-out=E_W0/gamma&-out=e_W0/gamma&-out=r0pc&-out=E_r0pc&-out=e_r0pc&-out=Mtot&-out=E_Mtot&-out=e_Mtot&-out=sigp0&-out=vesc0&-out=Rad&-out=kappa1&-out=kappa2&-out=kappa3&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21610304
#Name: J/ApJS/161/304
#Title: Star clusters in the Milky Way and satellites (McLaughlin+, 2005)
#INFO	ivoid=ivo://cds.vizier/j/apjs/161/304	    IVOID of underlying data collection
#INFO	creator=McLaughlin D.E.	    First author or institution
#INFO	cites=bibcode:2005ApJS..161..304M	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/161/304	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21610304	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_161_304_models:
#Name: J/ApJS/161/304/models
#Title: Results of models: basic fit parameters,  structural and dynamical parameters, radii and {kappa}-space parameters
#Column	Cluster	(a11)	Cluster name with galaxy prefix	[ucd=meta.id;meta.main]
#Column	Mod	(A2)	[KW PL] Model fit (G1)	[ucd=meta.id;stat.fit]
#Column	W0/gamma	(F5.2)	Dimensionless central potential (6)	[ucd=stat.fit.param]
#Column	E_W0/gamma	(F5.2)	Upper 1{sigma} error in WO	[ucd=stat.error;stat.max]
#Column	e_W0/gamma	(F5.2)	Lower 1{sigma} error in WO	[ucd=stat.error]
#Column	r0pc	(F7.3)	Scale radius in parsecs	[ucd=phys.size.radius;instr.scale]
#Column	E_r0pc	(F6.3)	Upper 1{sigma} error in r0pc	[ucd=stat.error;stat.max]
#Column	e_r0pc	(F6.3)	Lower 1{sigma} error in r0pc	[ucd=stat.error]
#Column	Mtot	(F5.2)	Log of total model mass	[ucd=phys.mass;meta.modelled]
#Column	E_Mtot	(F5.2)	Upper 1{sigma} error in Mtot	[ucd=stat.error;stat.max]
#Column	e_Mtot	(F5.2)	Lower 1{sigma} error in Mtot	[ucd=stat.error]
#Column	sigp0	(F5.2)	Velocity dispersion at R=0	[ucd=phys.veloc.dispersion]
#Column	vesc0	(F5.2)	Escape velocity at R=0	[ucd=phys.veloc.escape]
#Column	Rad	(F6.2)	Distance from center of parent galaxy (1)	[ucd=pos.distance]
#Column	kappa1	(F6.3)	kappa_1_ fundamental-plane parameter (2)	[ucd=stat.param]
#Column	kappa2	(F6.3)	kappa_2_ fundmental-plane parameter (2)	[ucd=stat.param]
#Column	kappa3	(F6.3)	kappa_3_ fundamental-plane parameter (2)	[ucd=stat.param]
Cluster	Mod	W0/gamma	E_W0/gamma	e_W0/gamma	r0pc	E_r0pc	e_r0pc	Mtot	E_Mtot	e_Mtot	sigp0	vesc0	Rad	kappa1	kappa2	kappa3
LMC-NGC2155	W 	 4.30	 1.20	 1.40	  5.270	 1.290	 0.690	 4.58	 0.09	 0.09	 1.86	 6.97	  4.67	-1.147	 2.868	 0.313
LMC-NGC2156	K 	 6.70	 0.20	 0.30	  1.440	 0.210	 0.130	 3.65	 0.08	 0.08	 0.87	 3.48	  2.80	-1.804	 3.372	-0.381
LMC-NGC2156	PL	 4.05	 0.15	 0.15	  2.310	 0.250	 0.250	 3.66	 0.09	 0.08	 0.88	 3.35	  2.80	-1.791	 3.355	-0.378
LMC-NGC2156	W 	 6.10	 0.20	 0.30	  1.700	 0.200	 0.130	 3.65	 0.08	 0.08	 0.88	 3.45	  2.80	-1.800	 3.391	-0.380
LMC-NGC2157	K 	 6.70	 0.20	 0.20	  2.110	 0.160	 0.170	 4.31	 0.10	 0.10	 1.55	 6.18	  2.53	-1.336	 3.780	-0.381
LMC-NGC2157	PL	 4.05	 0.15	 0.10	  3.210	 0.270	 0.180	 4.34	 0.10	 0.10	 1.62	 6.18	  2.53	-1.313	 3.832	-0.378
LMC-NGC2157	W 	 6.00	 0.20	 0.20	  2.490	 0.140	 0.140	 4.32	 0.10	 0.10	 1.60	 6.22	  2.53	-1.331	 3.838	-0.381
LMC-NGC2159	K 	 6.70	 0.20	 0.30	  1.900	 0.160	 0.130	 3.86	 0.10	 0.10	 0.97	 3.88	  2.75	-1.654	 3.338	-0.381
LMC-NGC2159	PL	 4.05	 0.20	 0.15	  2.890	 0.290	 0.230	 3.88	 0.10	 0.10	 1.00	 3.84	  2.75	-1.637	 3.380	-0.378
LMC-NGC2159	W 	 6.00	 0.20	 0.40	  2.250	 0.210	 0.120	 3.86	 0.10	 0.10	 0.99	 3.87	  2.75	-1.653	 3.387	-0.381
LMC-NGC2162	K 	 6.10	 0.50	 0.60	  2.520	 0.290	 0.220	 4.02	 0.15	 0.15	 1.12	 4.40	  6.10	-1.544	 2.781	 0.101
LMC-NGC2162	PL	 3.70	 0.35	 0.25	  3.000	 0.530	 0.390	 4.14	 0.17	 0.16	 1.13	 4.41	  6.10	-1.428	 2.551	 0.129
LMC-NGC2162	W 	 6.00	 0.70	 0.70	  2.740	 0.330	 0.280	 4.06	 0.16	 0.15	 1.13	 4.40	  6.10	-1.514	 2.732	 0.106
LMC-NGC2164	K 	 7.10	 0.10	 0.20	  1.550	 0.110	 0.060	 4.18	 0.09	 0.09	 1.44	 5.82	  2.85	-1.420	 3.715	-0.343
LMC-NGC2164	PL	 3.95	 0.10	 0.05	  2.450	 0.150	 0.080	 4.19	 0.09	 0.09	 1.50	 5.78	  2.85	-1.412	 3.801	-0.345
LMC-NGC2164	W 	 6.30	 0.10	 0.20	  1.880	 0.120	 0.060	 4.18	 0.09	 0.09	 1.49	 5.85	  2.85	-1.424	 3.804	-0.347
LMC-NGC2172	K 	 6.40	 0.30	 0.40	  2.410	 0.230	 0.150	 3.61	 0.10	 0.10	 0.68	 2.70	  2.89	-1.832	 2.907	-0.384
LMC-NGC2172	PL	 3.90	 0.30	 0.25	  3.290	 0.440	 0.390	 3.68	 0.11	 0.10	 0.70	 2.72	  2.89	-1.772	 2.851	-0.373
LMC-NGC2172	W 	 5.90	 0.60	 0.50	  2.780	 0.250	 0.270	 3.63	 0.10	 0.10	 0.70	 2.71	  2.89	-1.816	 2.919	-0.382
LMC-NGC2173	K 	 7.00	 0.30	 0.30	  2.860	 0.260	 0.220	 4.70	 0.07	 0.07	 1.97	 7.94	  3.61	-1.055	 2.868	 0.281
LMC-NGC2173	PL	 3.45	 0.20	 0.15	  3.430	 0.500	 0.370	 4.87	 0.12	 0.10	 2.01	 8.01	  3.61	-0.849	 2.455	 0.353
LMC-NGC2173	W 	 6.80	 0.30	 0.40	  3.190	 0.280	 0.190	 4.75	 0.08	 0.08	 2.00	 7.97	  3.61	-1.003	 2.793	 0.294
LMC-NGC2193	K 	 6.80	 0.40	 0.40	  1.600	 0.250	 0.220	 4.13	 0.08	 0.08	 1.42	 5.70	  5.34	-1.460	 2.938	 0.240
LMC-NGC2193	PL	 3.60	 0.20	 0.20	  2.030	 0.320	 0.310	 4.24	 0.11	 0.09	 1.45	 5.70	  5.34	-1.337	 2.717	 0.275
LMC-NGC2193	W 	 6.50	 0.50	 0.40	  1.810	 0.210	 0.230	 4.17	 0.09	 0.08	 1.44	 5.71	  5.34	-1.425	 2.902	 0.246
LMC-NGC2209	K 	 7.50	12.00	 2.60	  5.420	 1.060	 0.490	 4.36	 2.59	 0.31	 0.87	 3.58	  4.61	-1.279	 1.784	 0.093
LMC-NGC2209	PL	 3.10	 0.90	 0.05	  5.410	 2.030	 0.130	 4.95	 0.33	 0.76	 0.87	 3.62	  4.61	 0.415	-2.624	 1.136
LMC-NGC2209	W 	 8.20	11.30	 3.10	  5.450	 1.280	 0.510	 4.63	 2.40	 0.52	 0.87	 3.65	  4.61	-0.905	 0.920	 0.242
LMC-NGC2210	K 	 5.40	 0.20	 0.20	  2.000	 0.090	 0.090	 5.40	 0.05	 0.05	 6.85	26.19	  3.60	-0.570	 4.375	 0.498
LMC-NGC2210	PL	 4.55	 0.20	 0.15	  2.900	 0.190	 0.150	 5.44	 0.05	 0.05	 7.02	26.21	  3.60	-0.542	 4.371	 0.503
LMC-NGC2210	W 	 4.80	 0.30	 0.30	  2.300	 0.130	 0.130	 5.42	 0.05	 0.05	 6.94	26.25	  3.60	-0.559	 4.383	 0.500
LMC-NGC2213	K 	 6.60	 0.30	 0.30	  1.610	 0.110	 0.110	 4.30	 0.10	 0.10	 1.79	 7.12	  3.63	-1.341	 3.231	 0.232
LMC-NGC2213	PL	 3.65	 0.20	 0.15	  2.010	 0.230	 0.180	 4.41	 0.11	 0.11	 1.82	 7.12	  3.63	-1.232	 3.033	 0.262
LMC-NGC2213	W 	 6.40	 0.40	 0.40	  1.780	 0.140	 0.130	 4.34	 0.11	 0.10	 1.81	 7.12	  3.63	-1.309	 3.186	 0.240
LMC-NGC2214	K 	 7.70	 0.20	 0.20	  1.890	 0.150	 0.150	 4.03	 0.10	 0.10	 0.96	 4.00	  3.97	-1.501	 3.020	-0.353
LMC-NGC2214	PL	 3.45	 0.15	 0.15	  2.590	 0.310	 0.320	 4.14	 0.13	 0.11	 1.00	 4.00	  3.97	-1.362	 2.793	-0.304
LMC-NGC2214	W 	 7.00	 0.30	 0.20	  2.330	 0.120	 0.180	 4.05	 0.10	 0.10	 0.99	 3.99	  3.97	-1.488	 3.061	-0.353
LMC-NGC2231	K 	 6.40	 0.60	 0.60	  3.410	 0.430	 0.350	 4.36	 0.12	 0.12	 1.35	 5.34	  4.83	-1.307	 2.686	 0.153
LMC-NGC2231	PL	 3.35	 0.30	 0.25	  3.510	 0.730	 0.610	 4.62	 0.42	 0.18	 1.34	 5.41	  4.83	-0.950	 1.860	 0.291
LMC-NGC2231	W 	 6.60	 0.80	 0.70	  3.590	 0.450	 0.430	 4.43	 0.15	 0.12	 1.35	 5.37	  4.83	-1.240	 2.554	 0.168
LMC-NGC2249	K 	 5.80	 0.40	 0.40	  1.910	 0.160	 0.150	 4.03	 0.20	 0.20	 1.35	 5.25	  4.73	-1.544	 3.315	 0.004
LMC-NGC2249	PL	 4.00	 0.30	 0.20	  2.470	 0.330	 0.230	 4.10	 0.20	 0.20	 1.37	 5.26	  4.73	-1.480	 3.217	 0.015
LMC-NGC2249	W 	 5.50	 0.50	 0.50	  2.120	 0.200	 0.180	 4.05	 0.20	 0.20	 1.37	 5.27	  4.73	-1.522	 3.298	 0.007
LMC-NGC2257	K 	 4.40	 1.60	 1.40	  7.780	 1.590	 0.970	 5.00	 0.12	 0.07	 2.49	 9.25	  7.28	-0.849	 2.701	 0.500
LMC-NGC2257	PL	 4.20	 1.40	 0.70	  8.990	 2.750	 1.640	 5.11	 0.22	 0.12	 2.48	 9.41	  7.28	-0.769	 2.555	 0.504
LMC-NGC2257	W 	 4.30	 2.10	 2.20	  8.350	 3.520	 1.380	 5.03	 0.17	 0.09	 2.49	 9.32	  7.28	-0.827	 2.667	 0.500
LMC-R136   	K 	 9.20	 0.20	 0.20	  0.390	 0.060	 0.050	 4.78	 0.27	 0.27	 3.36	14.90	  1.20	-0.876	 4.968	-0.618
LMC-R136   	PL	 3.05	 0.10	 0.00	  0.280	 0.110	 0.000	 5.52	 0.27	 0.47	 5.30	22.28	  1.20	 2.768	-3.969	 1.926
LMC-R136   	W 	 8.80	 0.00	 0.10	  0.250	 0.030	 0.030	 4.91	 0.27	 0.27	 4.37	19.08	  1.20	-0.620	 4.899	-0.486
LMC-SL663  	K 	 8.10	11.40	 3.80	  6.940	 1.770	 0.390	 4.67	 2.49	 0.45	 0.95	 4.03	  4.13	-1.025	 1.170	 0.357
LMC-SL663  	PL	 3.10	 1.30	 0.05	  7.030	 3.370	 0.150	 5.14	 0.31	 0.83	 0.95	 3.98	  4.13	 0.553	-2.999	 1.372
LMC-SL663  	W 	 8.50	11.00	 4.20	  7.060	 2.180	 0.510	 4.91	 2.33	 0.65	 0.95	 4.07	  4.13	-0.660	 0.310	 0.515
LMC-SL842  	K 	 4.90	 0.50	 0.50	  3.020	 0.370	 0.330	 3.91	 0.10	 0.10	 1.06	 3.99	  7.02	-1.628	 2.592	 0.246
LMC-SL842  	PL	 5.05	 0.55	 0.50	  4.570	 0.660	 0.650	 3.93	 0.10	 0.10	 1.09	 4.01	  7.02	-1.608	 2.611	 0.250
LMC-SL842  	W 	 4.00	 0.70	 0.80	  3.620	 0.650	 0.460	 3.91	 0.10	 0.10	 1.07	 3.99	  7.02	-1.621	 2.607	 0.248
LMC-SL855  	K 	 4.00	 5.20	 3.70	  7.490	19.200	 1.780	 3.49	 0.74	 0.26	 0.46	 1.71	  5.64	-1.919	 1.556	 0.095
LMC-SL855  	PL	 4.50	15.50	 1.45	  8.890	15.810	 3.120	 3.57	 1.15	 0.31	 0.46	 1.73	  5.64	-1.860	 1.446	 0.095
LMC-SL855  	W 	 3.70	 5.50	 3.60	  8.270	41.130	 2.560	 3.51	 1.10	 0.25	 0.46	 1.71	  5.64	-1.904	 1.526	 0.094
MW-AM1     	K 	 6.60	 0.40	 0.50	  7.160	 0.690	 0.490	 4.04	 0.04	 0.04	 0.63	 2.51	123.28	-1.525	 0.947	 0.502
MW-AM1     	PL	 3.45	 0.30	 0.20	  7.940	 1.390	 0.980	 4.23	 0.16	 0.11	 0.63	 2.53	123.28	-1.299	 0.462	 0.580
MW-AM1     	W 	 6.60	 0.60	 0.70	  7.640	 0.870	 0.670	 4.10	 0.07	 0.05	 0.63	 2.52	123.28	-1.474	 0.857	 0.514
MW-ARP2    	K 	 4.20	 0.90	 0.90	 11.790	 2.200	 1.620	 4.09	 0.04	 0.04	 0.72	 2.67	 21.50	-1.494	 1.189	 0.501
MW-ARP2    	PL	 5.05	 1.20	 0.75	 16.120	 4.130	 2.930	 4.12	 0.06	 0.05	 0.73	 2.68	 21.50	-1.467	 1.158	 0.502
MW-ARP2    	W 	 3.50	 1.30	 1.60	 13.790	 5.830	 2.560	 4.10	 0.05	 0.04	 0.73	 2.69	 21.50	-1.482	 1.184	 0.502
MW-IC1276  	K 	 6.30	 0.40	 0.40	  1.700	 0.120	 0.110	 5.10	 0.14	 0.14	 4.59	18.06	  3.64	-0.781	 3.803	 0.560
MW-IC1276  	PL	 3.65	 0.25	 0.20	  2.000	 0.240	 0.200	 5.22	 0.16	 0.15	 4.65	18.24	  3.64	-0.656	 3.569	 0.593
MW-IC1276  	W 	 6.20	 0.50	 0.60	  1.830	 0.170	 0.120	 5.14	 0.15	 0.14	 4.62	18.11	  3.64	-0.749	 3.754	 0.566
MW-IC4499  	K 	 5.80	 0.30	 0.40	  5.030	 0.610	 0.410	 5.10	 0.05	 0.05	 2.88	11.15	 15.71	-0.784	 2.903	 0.497
MW-IC4499  	PL	 4.35	 0.25	 0.30	  7.500	 0.830	 1.020	 5.14	 0.05	 0.05	 2.96	11.15	 15.71	-0.747	 2.891	 0.503
MW-IC4499  	W 	 5.20	 0.40	 0.50	  5.870	 0.720	 0.510	 5.12	 0.05	 0.05	 2.93	11.18	 15.71	-0.769	 2.913	 0.499
MW-NGC104  	K 	 8.60	 0.10	 0.10	  0.510	 0.030	 0.030	 6.05	 0.04	 0.04	15.27	65.92	  7.36	-0.010	 4.918	 0.636
MW-NGC104  	PL	 3.50	 0.05	 0.05	  0.880	 0.090	 0.080	 6.06	 0.04	 0.04	16.33	64.88	  7.36	-0.029	 5.116	 0.620
MW-NGC104  	W 	 7.20	 0.10	 0.10	  0.750	 0.070	 0.060	 6.03	 0.05	 0.05	16.31	66.07	  7.36	-0.069	 5.210	 0.601
MW-NGC1261 	K 	 5.60	 0.20	 0.10	  1.840	 0.040	 0.090	 5.20	 0.04	 0.04	 5.48	21.09	 18.19	-0.715	 4.144	 0.504
MW-NGC1261 	PL	 4.85	 0.15	 0.15	  2.970	 0.140	 0.150	 5.23	 0.04	 0.04	 5.82	21.54	 18.19	-0.688	 4.219	 0.510
MW-NGC1261 	W 	 4.80	 0.20	 0.20	  2.170	 0.090	 0.090	 5.21	 0.04	 0.04	 5.63	21.29	 18.19	-0.705	 4.182	 0.506
MW-NGC1851 	K 	 8.10	 0.20	 0.10	  0.320	 0.020	 0.040	 5.49	 0.04	 0.04	11.55	48.75	 16.68	-0.441	 5.170	 0.565
MW-NGC1851 	PL	 3.45	 0.05	 0.05	  0.450	 0.030	 0.030	 5.54	 0.04	 0.04	12.04	48.04	 16.68	-0.370	 5.093	 0.595
MW-NGC1851 	W 	 7.30	 0.10	 0.10	  0.380	 0.020	 0.020	 5.49	 0.04	 0.04	12.03	48.92	 16.68	-0.440	 5.254	 0.567
MW-NGC1904 	K 	 7.50	 0.10	 0.10	  0.650	 0.010	 0.010	 5.20	 0.04	 0.04	 6.63	27.29	 18.76	-0.685	 4.468	 0.524
MW-NGC1904 	PL	 3.25	 0.05	 0.05	  0.710	 0.030	 0.030	 5.47	 0.08	 0.06	 6.74	27.51	 18.76	-0.204	 3.336	 0.762
MW-NGC1904 	W 	 7.20	 0.20	 0.10	  0.710	 0.010	 0.020	 5.24	 0.05	 0.04	 6.77	27.43	 18.76	-0.624	 4.380	 0.545
MW-NGC2298 	K 	 6.20	 0.20	 0.20	  1.110	 0.040	 0.030	 4.49	 0.04	 0.04	 2.87	11.25	 15.77	-1.211	 3.634	 0.498
MW-NGC2298 	PL	 3.65	 0.15	 0.10	  1.290	 0.090	 0.060	 4.62	 0.05	 0.05	 2.90	11.36	 15.77	-1.082	 3.387	 0.532
MW-NGC2298 	W 	 6.10	 0.30	 0.30	  1.190	 0.050	 0.050	 4.53	 0.05	 0.04	 2.89	11.31	 15.77	-1.180	 3.592	 0.504
MW-NGC2419 	K 	 6.50	 0.10	 0.10	  8.410	 0.260	 0.260	 5.95	 0.04	 0.04	 5.32	21.09	 91.54	-0.177	 3.147	 0.505
MW-NGC2419 	PL	 4.25	 0.05	 0.10	 12.810	 0.310	 0.630	 5.96	 0.04	 0.04	 5.63	21.29	 91.54	-0.168	 3.250	 0.507
MW-NGC2419 	W 	 5.70	 0.10	 0.10	  9.910	 0.260	 0.260	 5.95	 0.04	 0.04	 5.51	21.28	 91.54	-0.177	 3.222	 0.505
MW-NGC2808 	K 	 7.10	 0.10	 0.10	  0.730	 0.020	 0.020	 5.93	 0.05	 0.05	15.77	63.96	 11.15	-0.181	 5.433	 0.530
MW-NGC2808 	PL	 4.15	 0.05	 0.05	  1.200	 0.030	 0.040	 5.94	 0.05	 0.05	17.31	65.79	 11.15	-0.185	 5.646	 0.523
MW-NGC2808 	W 	 6.20	 0.10	 0.10	  0.880	 0.030	 0.030	 5.93	 0.05	 0.05	16.60	65.04	 11.15	-0.187	 5.558	 0.525
MW-NGC288  	K 	 4.80	 0.20	 0.20	  3.960	 0.210	 0.200	 4.85	 0.04	 0.04	 2.79	10.47	 11.96	-0.958	 3.115	 0.512
MW-NGC288  	PL	 5.70	 0.25	 0.20	  6.920	 0.410	 0.330	 4.89	 0.04	 0.04	 2.95	10.71	 11.96	-0.924	 3.169	 0.519
MW-NGC288  	W 	 3.50	 0.30	 0.30	  5.150	 0.370	 0.340	 4.87	 0.04	 0.04	 2.88	10.61	 11.96	-0.941	 3.149	 0.515
MW-NGC3201 	K 	 6.10	 0.20	 0.20	  1.880	 0.110	 0.110	 5.04	 0.05	 0.05	 4.21	16.46	  8.91	-0.823	 3.778	 0.498
MW-NGC3201 	PL	 4.35	 0.15	 0.15	  2.840	 0.190	 0.190	 5.09	 0.05	 0.05	 4.52	17.01	  8.91	-0.785	 3.856	 0.503
MW-NGC3201 	W 	 5.40	 0.20	 0.30	  2.190	 0.160	 0.100	 5.06	 0.05	 0.05	 4.38	16.80	  8.91	-0.807	 3.835	 0.500
MW-NGC362  	K 	 7.90	 0.10	 0.10	  0.410	 0.010	 0.010	 5.53	 0.04	 0.04	11.12	46.54	  9.35	-0.426	 5.071	 0.559
MW-NGC362  	PL	 3.80	 0.05	 0.05	  0.660	 0.020	 0.020	 5.51	 0.04	 0.04	12.29	47.68	  9.35	-0.470	 5.395	 0.535
MW-NGC362  	W 	 6.80	 0.00	 0.20	  0.520	 0.030	 0.000	 5.50	 0.04	 0.04	11.84	47.28	  9.35	-0.469	 5.308	 0.540
MW-NGC4147 	K 	 8.00	 0.10	 0.20	  0.520	 0.070	 0.030	 4.66	 0.04	 0.04	 3.55	14.90	 21.37	-1.038	 3.720	 0.545
MW-NGC4147 	PL	 3.80	 0.05	 0.10	  1.200	 0.050	 0.110	 4.69	 0.04	 0.04	 3.56	13.81	 21.37	-1.049	 3.788	 0.517
MW-NGC4147 	W 	 6.60	 0.10	 0.10	  0.900	 0.040	 0.040	 4.66	 0.04	 0.04	 3.55	14.10	 21.37	-1.071	 3.826	 0.514
MW-NGC4590 	K 	 6.60	 0.10	 0.10	  1.820	 0.040	 0.040	 4.96	 0.04	 0.04	 3.59	14.30	 10.08	-0.876	 3.524	 0.505
MW-NGC4590 	PL	 4.15	 0.05	 0.05	  2.710	 0.060	 0.060	 4.98	 0.04	 0.04	 3.81	14.48	 10.08	-0.863	 3.623	 0.507
MW-NGC4590 	W 	 6.00	 0.10	 0.10	  2.080	 0.050	 0.050	 4.97	 0.04	 0.04	 3.70	14.43	 10.08	-0.869	 3.575	 0.506
MW-NGC5024 	K 	 7.40	 0.10	 0.10	  1.880	 0.080	 0.080	 5.65	 0.04	 0.04	 6.68	27.39	 18.31	-0.369	 3.941	 0.521
MW-NGC5024 	PL	 3.90	 0.05	 0.05	  3.060	 0.110	 0.110	 5.68	 0.04	 0.04	 7.34	28.28	 18.31	-0.355	 4.129	 0.513
MW-NGC5024 	W 	 6.40	 0.10	 0.10	  2.410	 0.090	 0.090	 5.66	 0.04	 0.04	 7.14	28.16	 18.31	-0.371	 4.103	 0.511
MW-NGC5053 	K 	 3.50	 0.20	 0.30	 11.620	 0.860	 0.540	 4.80	 0.04	 0.04	 1.79	 6.52	 16.94	-0.989	 2.227	 0.513
MW-NGC5053 	PL	 7.50	 0.65	 0.50	 20.700	 1.700	 1.380	 4.82	 0.04	 0.04	 1.86	 6.60	 16.94	-0.966	 2.258	 0.520
MW-NGC5053 	W 	 1.30	 0.50	 0.60	 20.750	 8.130	 3.460	 4.81	 0.04	 0.04	 1.84	 6.58	 16.94	-0.975	 2.250	 0.517
MW-NGC5139 	K 	 6.20	 0.20	 0.10	  3.630	 0.170	 0.330	 6.37	 0.04	 0.04	13.75	53.96	  6.34	 0.115	 4.671	 0.498
MW-NGC5139 	PL	 5.55	 0.10	 0.10	  8.420	 0.290	 0.300	 6.42	 0.04	 0.04	15.37	55.95	  6.34	 0.161	 4.821	 0.505
MW-NGC5139 	W 	 4.70	 0.10	 0.10	  5.060	 0.180	 0.180	 6.40	 0.04	 0.04	14.75	55.66	  6.34	 0.140	 4.779	 0.499
MW-NGC5272 	K 	 8.20	 0.10	 0.10	  1.150	 0.080	 0.080	 5.58	 0.04	 0.04	 6.50	27.59	 12.18	-0.374	 3.845	 0.557
MW-NGC5272 	PL	 4.15	 0.05	 0.10	  2.300	 0.100	 0.200	 5.67	 0.04	 0.04	 9.22	35.04	 12.18	-0.370	 4.653	 0.505
MW-NGC5272 	W 	 6.60	 0.10	 0.10	  1.380	 0.110	 0.100	 5.63	 0.04	 0.04	 8.75	34.69	 12.18	-0.387	 4.557	 0.515
MW-NGC5286 	K 	 6.60	 0.10	 0.20	  0.960	 0.040	 0.020	 5.65	 0.05	 0.05	10.98	43.70	  8.38	-0.387	 5.060	 0.502
MW-NGC5286 	PL	 3.90	 0.05	 0.10	  1.300	 0.030	 0.070	 5.70	 0.05	 0.05	11.49	44.29	  8.38	-0.342	 5.064	 0.511
MW-NGC5286 	W 	 6.10	 0.10	 0.20	  1.080	 0.040	 0.020	 5.67	 0.05	 0.05	11.27	44.05	  8.38	-0.375	 5.091	 0.504
MW-NGC5466 	K 	 4.20	 0.20	 0.20	  8.470	 0.400	 0.380	 4.77	 0.04	 0.04	 1.86	 6.88	 16.19	-1.015	 2.359	 0.508
MW-NGC5466 	PL	 5.85	 0.20	 0.15	 13.340	 0.570	 0.450	 4.79	 0.04	 0.04	 1.93	 7.00	 16.19	-0.993	 2.397	 0.512
MW-NGC5466 	W 	 3.30	 0.30	 0.20	 10.080	 0.450	 0.630	 4.77	 0.04	 0.04	 1.88	 6.90	 16.19	-1.011	 2.369	 0.509
MW-NGC5634 	K 	 8.80	 0.10	 0.20	  0.650	 0.070	 0.030	 5.14	 0.04	 0.04	 4.44	19.33	 21.19	-0.642	 3.448	 0.590
MW-NGC5634 	PL	 3.20	 0.10	 0.05	  0.880	 0.090	 0.040	 5.36	 0.10	 0.11	 4.85	19.94	 21.19	-0.129	 2.338	 0.881
MW-NGC5634 	W 	 7.50	 0.10	 0.10	  0.880	 0.030	 0.030	 5.13	 0.04	 0.04	 4.89	20.01	 21.19	-0.674	 3.731	 0.573
MW-NGC5694 	K 	 8.20	 0.10	 0.10	  0.660	 0.030	 0.030	 5.33	 0.04	 0.04	 6.47	27.46	 29.12	-0.548	 4.137	 0.556
MW-NGC5694 	PL	 3.30	 0.05	 0.05	  0.860	 0.040	 0.040	 5.50	 0.06	 0.05	 6.98	28.31	 29.12	-0.267	 3.627	 0.686
MW-NGC5694 	W 	 7.30	 0.10	 0.10	  0.820	 0.030	 0.020	 5.35	 0.04	 0.04	 6.94	28.23	 29.12	-0.540	 4.277	 0.552
MW-NGC5824 	K 	 8.50	 0.10	 0.20	  0.550	 0.070	 0.030	 5.81	 0.04	 0.04	11.34	48.75	 25.82	-0.190	 4.686	 0.573
MW-NGC5824 	PL	 3.30	 0.10	 0.00	  0.710	 0.120	 0.000	 5.92	 0.04	 0.06	12.42	50.38	 25.82	 0.029	 4.339	 0.686
MW-NGC5824 	W 	 7.60	 0.10	 0.10	  0.640	 0.050	 0.040	 5.83	 0.04	 0.04	12.38	50.91	 25.82	-0.164	 4.811	 0.584
MW-NGC5897 	K 	 4.10	 0.20	 0.20	  6.060	 0.260	 0.250	 5.01	 0.04	 0.04	 2.94	10.87	  7.27	-0.843	 3.047	 0.501
MW-NGC5897 	PL	 5.75	 0.25	 0.25	  9.290	 0.460	 0.470	 5.03	 0.04	 0.04	 3.02	10.95	  7.27	-0.823	 3.062	 0.505
MW-NGC5897 	W 	 2.90	 0.30	 0.30	  7.740	 0.540	 0.470	 5.02	 0.04	 0.04	 3.00	10.94	  7.27	-0.832	 3.063	 0.504
MW-NGC5904 	K 	 7.60	 0.10	 0.10	  0.960	 0.060	 0.060	 5.65	 0.04	 0.04	 9.01	37.25	  6.14	-0.357	 4.533	 0.538
MW-NGC5904 	PL	 4.45	 0.05	 0.05	  2.700	 0.120	 0.120	 5.70	 0.04	 0.04	 9.66	36.25	  6.14	-0.351	 4.709	 0.513
MW-NGC5904 	W 	 6.10	 0.10	 0.10	  1.550	 0.100	 0.090	 5.70	 0.04	 0.04	 9.71	37.93	  6.14	-0.355	 4.722	 0.516
